espece	sous-famille	traitement	plante	Phe	Dap	Put	AcCad	NAcHSpd	Oct	MTyr	Tyr	Spd	HSpd	Dop	Spm
S	S1	T	1	150,08	729,97	268,17	41,58	200,82	50,98	105,06	4906,73	216,99	65,21	895,81	1894,14
S	S1	T	2	610,7	987,42	91,66	108,51	83,14	92,11	83,73	5859,25	231,19	160,79	606,08	754,65
S	S1	T	3	519,24	1378,57	130,38	227,87	549,27	119,31	70,12	6522,42	343,44	81,54	813,17	208,34
S	S1	T	4	415,2	1526,05	129,27	214,69	477,68	1242,33	59,13	5506,76	171,88	31,58	639,15	420,42
S	S1	S	5	150,63	1322,22	359,35	193,75	188,92	30,76	147,99	4553,4	175,71	35,19	872,46	329,21
S	S1	S	6	191,01	1266,44	405,18	132,07	240,44	101,9	243,12	4411,82	222,44	57,18	1004,78	371,65
S	S1	S	7	120	1123,08	97,08	251,86	274,49	81,19	148,22	3912,68	358,07	61,4	1243,51	772,31
S	S1	S	8	537,12	1283,12	184,39	124,21	245,59	114,22	134,98	4296,98	419,1	69	735,47	220,58
S	S2	T	9	70,28	835,33	119,32	142,66	114,16	346,03	194,07	6485,83	228,76	56,49	1103,11	4119,17
S	S2	T	10	165,98	1010,64	100,2	81,76	379,23	553,59	11,25	4706,91	218,45	70,68	675,64	485,51
S	S2	T	11	580,18	1043,09	116,53	404,84	207,89	534,85	90,43	6007,18	246,92	100,42	711,09	316,72
S	S2	T	12	28,49	525,56	70,48	117,98	77,73	128,03	17,21	3481,98	127,16	50,09	613,61	1146,16
S	S2	S	13	164,76	836,17	56,46	72,85	429,17	242,46	76,88	4001,3	137,41	58,44	776,47	920,37
S	S2	S	14	373,68	728,2	58,52	114,21	390,75	110,3	74,17	2826,83	157,82	30,93	528,05	211,81
S	S2	S	15	136,05	1019,97	196,15	102,68	224,09	97,87	158,2	3851,2	166,49	30,93	827,18	437,21
S	S2	S	16	183,23	893,67	233,13	140,77	179,06	97,87	207,07	4779,59	204,96	42,37	795,21	662,74
S	S3	T	17	332,71	717,26	44,4	122,6	181,43	106,92	63,94	3683,39	124,9	38,12	781,3	310,5
S	S3	T	18	440,76	886,2	78,04	98,57	289,89	223,43	78,3	4517,16	254,58	59,8	499,75	420,72
S	S3	T	19	339,85	1071,41	79,73	87	305,65	78,97	68,83	5031,61	170,62	96,39	780,31	1031,21
S	S3	T	20	373,01	1137,18	82,94	80,63	416,24	127,09	93,68	8465,99	476,62	55,53	960,1	548,66
S	S3	S	21	321,59	1479,99	223,71	119,37	503,5	62,02	143,69	6699,86	419,6	100,8	625,42	1278,16
S	S3	S	22	453,54	1232,12	136,93	165,24	450,11	206,46	154,48	5547,2	352,3	141,57	633,78	787,83
S	S3	S	23	189	1282,05	323,42	58,99	267,93	58,7	193,93	9038,66	632,53	113,92	871,15	1847,05
S	S3	S	24	343,18	1450,67	160,74	99,03	729,42	133,54	82,12	12064,77	527,75	175,59	1103,08	1027,09
S	S4	T	25	30,43	643,99	65,41	40,23	131,75	57,64	30,14	4354,34	187,11	28,21	708,58	973,62
S	S4	T	26	422,78	1183,43	123,1	81,23	601,23	98,94	71,01	5456,46	286,85	111,57	698,07	413,5
S	S4	T	27	557,87	1166,66	83,3	140,63	418,36	1567,36	35,41	6017,36	296,07	119,85	642,72	173,79
S	S4	S	28	469,57	860,09	102,09	105,13	337,84	83,05	147,41	3483,82	210,23	57,63	768,9	130,76
S	S4	S	29	588,33	925,38	151,26	138,08	474,16	278,79	80,83	218,36	5335,66	486,97	602,72	356,55
S	S4	S	30	95,39	658,56	148,5	38,19	114,97	10	81,45	3783,37	383,31	73,55	836,4	536,76
S	S5	T	31	727,67	1021,43	113,68	210,95	618,94	542,76	127,44	8673,61	370,71	174,46	868	461,38
S	S5	T	32	409,5	979,42	130,39	273,1	740,31	118,31	81,69	7926,23	333,52	89,81	711,48	134,94
S	S5	T	33	228,78	12	20	153,17	205,27	77,95	104,65	7765,28	317,67	57,33	1034,36	964,08
S	S5	T	34	532,83	1162,25	98,47	122,51	487,6	298,29	132,3	10215,16	550,49	120,56	890,34	1701,84
S	S5	S	35	370,52	1823,41	111,68	165,01	415,13	90,73	196,71	7283,39	190,25	74,41	1011,24	1374,24
