Genotype	Milieu		GMQ
Croise		Bon           	834
Croise        	Bon           	780
Croise        	Bon           	813
Croise        	Bon           	806
Croise        	Bon           	797
Croise        	Mediocre      	671
Croise        	Mediocre      	640
Croise        	Mediocre      	661
Croise        	Mediocre      	693
Croise        	Mediocre      	680
Croise        	Moyen         	770
Croise        	Moyen         	780
Croise        	Moyen         	808
Croise        	Moyen         	791
Croise        	Moyen         	756
Pur           	Bon           	770
Pur           	Bon           	747
Pur           	Bon           	741
Pur           	Bon           	756
Pur           	Bon           	716
Pur           	Mediocre      	716
Pur           	Mediocre      	679
Pur           	Mediocre      	707
Pur           	Mediocre      	733
Pur           	Mediocre      	700
Pur           	Moyen         	715
Pur           	Moyen         	757
Pur           	Moyen         	734
Pur           	Moyen         	704
Pur           	Moyen         	725
