veau	proteines	site	mucines											
1	0	D	3,112104392											
2	0	D	0,799243099											
3	0	D	1,112253868											
4	0	D	3,145067642											
5	0	D	0,59527025											
6	0	D	0,216960101											
1	10	D	2,721902315											
2	10	D	2,295894121											
3	10	D	2,291943098											
4	10	D	1,162504839											
5	10	D	1,211548649											
6	10	D	0,70453596											
1	20	D	6,103974737											
2	20	D	3,590838795											
3	20	D	4,876333743											
4	20	D	9,471505229											
5	20	D	13,50975125											
6	20	D	1,777086879											
1	30	D	4,217507662											
2	30	D	3,097335889											
3	30	D	4,962978363											
4	30	D	6,707368705											
5	30	D	1,619919154											
6	30	D	0,952815252											
1	0	J	8,123895258											
2	0	J	1,989860553											
3	0	J	3,586714472											
4	0	J	1,909226013											
5	0	J	0,535204288											
6	0	J	0,705729455											
1	10	J	5,074756651											
2	10	J	4,230960093											
3	10	J	6,396193546											
4	10	J	2,403081595											
5	10	J	4,372390091											
6	10	J	1,039598732											
1	20	J	11,31303667											
2	20	J	3,209750895											
3	20	J	6,407725303											
4	20	J	2,640812001											
5	20	J	5,344540069											
6	20	J	0,914778135											
1	30	J	4,703004842											
2	30	J	5,083828607											
3	30	J	12,41130295											
4	30	J	6,960087419											
5	30	J	2,019816638											
6	30	J	1,633403872											
1	0	I	6,45617067											
2	0	I	7,958621396											
3	0	I	14,5762192											
4	0	I	4,634551657											
5	0	I	0,914137931											
6	0	I	1,168146375											
1	10	I	7,938917754											
2	10	I	5,674217435											
3	10	I	19,69507768											
4	10	I	2,335547368											
5	10	I	1,13610686											
6	10	I	2,962035903											
1	20	I	9,530440649											
2	20	I	9,676769289											
3	20	I	14,82787257											
4	20	I	4,008954202											
5	20	I	5,780774245											
6	20	I	1,516210523											
1	30	I	4,802079405											
2	30	I	7,758722526											
3	30	I	7,061220631											
4	30	I	7,155917305											
5	30	I	1,189175872											
6	30	I	0,981079837											
