Fournisseur	Consommateur	Seance	Note
1	1	1	5,00E+00
2	1	1	2,00E+00
3	1	1	3,00E+00
4	1	1	4,00E+00
1	2	1	4,00E+00
2	2	1	4,50E+00
3	2	1	5,00E+00
4	2	1	4,50E+00
1	3	1	4,00E+00
2	3	1	4,00E+00
3	3	1	5,00E+00
4	3	1	5,00E+00
1	4	1	5,00E+00
2	4	1	3,10E+00
3	4	1	3,30E+00
4	4	1	2,30E+00
1	5	1	4,00E+00
2	5	1	3,00E+00
3	5	1	5,00E+00
4	5	1	4,00E+00
1	1	2	3,00E+00
2	1	2	4,00E+00
3	1	2	3,00E+00
4	1	2	2,00E+00
1	2	2	3,70E+00
2	2	2	3,00E+00
3	2	2	4,00E+00
4	2	2	3,00E+00
1	3	2	5,20E+00
2	3	2	5,80E+00
3	3	2	4,50E+00
4	3	2	4,50E+00
1	4	2	6,00E+00
2	4	2	5,50E+00
3	4	2	4,00E+00
4	4	2	4,80E+00
1	5	2	5,00E+00
2	5	2	3,00E+00
3	5	2	5,00E+00
4	5	2	3,00E+00
1	1	3	3,00E+00
2	1	3	3,00E+00
3	1	3	5,00E+00
4	1	3	3,00E+00
1	2	3	3,80E+00
2	2	3	3,80E+00
3	2	3	4,80E+00
4	2	3	4,30E+00
1	3	3	5,60E+00
2	3	3	5,00E+00
3	3	3	5,60E+00
4	3	3	5,00E+00
1	4	3	2,60E+00
2	4	3	2,20E+00
3	4	3	3,00E+00
4	4	3	5,20E+00
1	5	3	4,00E+00
2	5	3	3,00E+00
3	5	3	4,00E+00
4	5	3	5,00E+00
1	1	4	2,00E+00
2	1	4	2,00E+00
3	1	4	2,90E+00
4	1	4	4,00E+00
1	2	4	3,50E+00
2	2	4	3,00E+00
3	2	4	4,80E+00
4	2	4	4,20E+00
1	3	4	5,20E+00
2	3	4	5,20E+00
3	3	4	6,00E+00
4	3	4	6,00E+00
1	4	4	3,80E+00
2	4	4	2,70E+00
3	4	4	4,70E+00
4	4	4	3,40E+00
1	5	4	2,90E+00
2	5	4	3,80E+00
3	5	4	6,00E+00
4	5	4	6,00E+00
1	1	5	2,00E+00
2	1	5	3,50E+00
3	1	5	2,90E+00
4	1	5	4,00E+00
1	2	5	4,60E+00
2	2	5	5,00E+00
3	2	5	4,00E+00
4	2	5	5,00E+00
1	3	5	4,80E+00
2	3	5	5,30E+00
3	3	5	4,80E+00
4	3	5	5,30E+00
1	4	5	5,50E+00
2	4	5	4,70E+00
3	4	5	2,90E+00
4	4	5	6,00E+00
1	5	5	3,00E+00
2	5	5	3,00E+00
3	5	5	3,00E+00
4	5	5	4,90E+00
1	1	6	4,00E+00
2	1	6	4,00E+00
3	1	6	1,80E+00
4	1	6	5,00E+00
1	2	6	3,90E+00
2	2	6	3,50E+00
3	2	6	3,90E+00
4	2	6	4,70E+00
1	3	6	4,80E+00
2	3	6	5,20E+00
3	3	6	4,80E+00
4	3	6	6,00E+00
1	4	6	3,70E+00
2	4	6	2,70E+00
3	4	6	3,70E+00
4	4	6	5,90E+00
1	5	6	5,00E+00
2	5	6	5,00E+00
3	5	6	2,00E+00
4	5	6	3,00E+00
1	1	7	1,00E+00
2	1	7	1,00E+00
3	1	7	2,80E+00
4	1	7	2,00E+00
1	2	7	2,00E+00
2	2	7	2,70E+00
3	2	7	3,00E+00
4	2	7	2,00E+00
1	3	7	5,90E+00
2	3	7	5,90E+00
3	3	7	5,90E+00
4	3	7	5,10E+00
1	4	7	3,90E+00
2	4	7	2,30E+00
3	4	7	1,80E+00
4	4	7	3,00E+00
1	5	7	3,40E+00
2	5	7	4,30E+00
3	5	7	4,30E+00
4	5	7	3,40E+00
1	1	8	3,00E+00
2	1	8	5,00E+00
3	1	8	2,00E+00
4	1	8	3,90E+00
1	2	8	2,90E+00
2	2	8	2,90E+00
3	2	8	4,60E+00
4	2	8	4,00E+00
1	3	8	4,80E+00
2	3	8	5,90E+00
3	3	8	4,80E+00
4	3	8	5,90E+00
1	4	8	4,00E+00
2	4	8	6,40E+00
3	4	8	4,70E+00
4	4	8	5,60E+00
1	5	8	4,00E+00
2	5	8	6,00E+00
3	5	8	3,00E+00
4	5	8	5,00E+00
1	1	9	2,00E+00
2	1	9	3,00E+00
3	1	9	3,00E+00
4	1	9	3,50E+00
1	2	9	4,50E+00
2	2	9	4,00E+00
3	2	9	2,80E+00
4	2	9	3,00E+00
1	3	9	5,50E+00
2	3	9	5,00E+00
3	3	9	5,00E+00
4	3	9	6,00E+00
1	4	9	4,70E+00
2	4	9	4,00E+00
3	4	9	2,00E+00
4	4	9	5,70E+00
1	5	9	3,00E+00
2	5	9	5,00E+00
3	5	9	3,00E+00
4	5	9	4,10E+00
1	1	10	3,00E+00
2	1	10	3,40E+00
3	1	10	2,00E+00
4	1	10	3,90E+00
1	2	10	3,00E+00
2	2	10	3,00E+00
3	2	10	4,90E+00
4	2	10	5,80E+00
1	3	10	5,10E+00
2	3	10	4,50E+00
3	3	10	4,50E+00
4	3	10	6,10E+00
1	4	10	4,30E+00
2	4	10	4,80E+00
3	4	10	2,00E+00
4	4	10	3,60E+00
1	5	10	3,00E+00
2	5	10	3,00E+00
3	5	10	4,00E+00
4	5	10	6,00E+00
1	1	11	2,00E+00
2	1	11	1,00E+00
3	1	11	3,00E+00
4	1	11	3,00E+00
1	2	11	3,00E+00
2	2	11	3,00E+00
3	2	11	3,00E+00
4	2	11	4,00E+00
1	3	11	5,20E+00
2	3	11	4,50E+00
3	3	11	5,20E+00
4	3	11	5,70E+00
1	4	11	4,00E+00
2	4	11	3,40E+00
3	4	11	2,80E+00
4	4	11	5,00E+00
1	5	11	4,80E+00
2	5	11	2,80E+00
3	5	11	5,80E+00
4	5	11	6,80E+00
1	1	12	3,00E+00
2	1	12	3,00E+00
3	1	12	3,00E+00
4	1	12	4,00E+00
1	2	12	4,00E+00
2	2	12	3,00E+00
3	2	12	4,80E+00
4	2	12	4,00E+00
1	3	12	4,50E+00
2	3	12	4,50E+00
3	3	12	6,00E+00
4	3	12	5,50E+00
1	4	12	3,80E+00
2	4	12	5,50E+00
3	4	12	4,40E+00
4	4	12	2,20E+00
1	5	12	4,00E+00
2	5	12	3,00E+00
3	5	12	3,00E+00
4	5	12	5,00E+00
1	1	13	4,00E+00
2	1	13	3,00E+00
3	1	13	1,80E+00
4	1	13	5,00E+00
1	2	13	3,00E+00
2	2	13	4,80E+00
3	2	13	3,00E+00
4	2	13	3,90E+00
1	3	13	5,40E+00
2	3	13	5,40E+00
3	3	13	4,80E+00
4	3	13	4,80E+00
1	4	13	5,90E+00
2	4	13	4,50E+00
3	4	13	3,90E+00
4	4	13	4,90E+00
1	5	13	5,00E+00
2	5	13	4,10E+00
3	5	13	3,00E+00
4	5	13	3,00E+00
1	1	14	1,00E+00
2	1	14	1,00E+00
3	1	14	1,00E+00
4	1	14	1,00E+00
1	2	14	3,00E+00
2	2	14	1,00E+00
3	2	14	3,00E+00
4	2	14	4,00E+00
1	3	14	4,90E+00
2	3	14	4,10E+00
3	3	14	4,10E+00
4	3	14	4,90E+00
1	4	14	3,60E+00
2	4	14	4,70E+00
3	4	14	2,30E+00
4	4	14	5,70E+00
1	5	14	4,00E+00
2	5	14	5,00E+00
3	5	14	5,00E+00
4	5	14	3,00E+00
1	1	15	1,00E+00
2	1	15	2,00E+00
3	1	15	4,00E+00
4	1	15	2,00E+00
1	2	15	3,70E+00
2	2	15	3,00E+00
3	2	15	3,90E+00
4	2	15	3,00E+00
1	3	15	4,50E+00
2	3	15	6,00E+00
3	3	15	5,00E+00
4	3	15	5,50E+00
1	4	15	5,80E+00
2	4	15	5,20E+00
3	4	15	2,60E+00
4	4	15	3,90E+00
1	5	15	4,00E+00
2	5	15	3,00E+00
3	5	15	3,00E+00
4	5	15	2,10E+00
